order,prompt,jot_field,target,field_name,,plant_num
182,Plant4 Region,region303,plant,plantRegion,,4
183,Plant4 Zip / Postal Code,plant4Zip,plant,plantZip,,4
185,Plant #4 Contact,plant4213,plant,,,4
186,Plant4 Contact Name,contactFirst,plant,contactFirst,,4
186,Plant4 Contact Name,contactLast,plant,contactLast,,4
187,Job Title,jobTitle215,plant,jobTitle,,4
188,Plant4 Contact Phone Number,phoneNumber216,plant,contactPhone,,4
189,Plant4 Contact Email Address,emailAddress217,plant,contactEmail,,4
190,Add an Additional Contact?,addAn218,plant,,,4
191,Name,contactFirst,plant,contactFirst1,,4
191,Name,contactLast,plant,contactLast1,,4
192,Job Title,jobTitle220,plant,jobTitle1,,4
193,Phone Number,phoneNumber221,plant,contactPhone1,,4
194,Email Address,emailAddress222,plant,contactEmail1,,4
195,"If the facility is not located in a major city, please indicate the closest major city and distance",ifThe223,,,,4
196,Briefly summarize the manufacturing process(es) in the facility:,brieflySummarize224,plant,brieflySummarize,,4
197,Are any other products produced in this plant?,areAny227,pant,otherProducts,,4
198,Please briefly list the products that are not part of this application but are being produced in the same plant.,ifYes228,plant,productDesc,,4
199,Are any of these products also produced in a plant not included in this application,areAny225,plant,areAny,,4
200,What is the name and location of the other company producing these products?,whatIs310,,,,4
203,Select preferred method:,selectPreferred231,,,,4
206,Product File Upload,fileUpload234,file,productFileURL3,,4
207,* Enter Product Information:,enterManually235,product,,,4
210,Select preferred method:,selectPreferred238,,,,4
215,Ingredient File Upload,fileUpload241,file,ingredientFileURL3,,4
216,* Enter Ingredient Information:,enterManually242,ingredient,,,4
219,Plant5 Name,plantName245,plant,plantName,,5
220,Plant5 Street Address,streetAddress246,plant,plantAddress,,5
221,Plant5 Address Line 2,addressLine247,plant,plantAddress2,,5
222,Plant5 City,city248,plant,plantCity,,5
223,Plant5 Country,country251,plant,plantCountry,,5
224,Plant5 State,state249,plant,plantState,,5
225,Plant5 Province,province296,plant,plantProvince,,5
226,Plant5 Region,region297,plant,plantRegion,,5
227,Plant5 Zip / Postal Code,plant5Zip,plant,plantZip,,5
229,Plant #5 Contact,plant5253,plant,,,5
230,Plant5 Contact Name,contactFirst,plant,contactFirst,,5
230,Plant5 Contact Name,contactLast,plant,contactLast,,5
231,Job Title,jobTitle255,plant,jobTitle,,5
232,Plant5 Contact Phone Number,phoneNumber256,plant,contactPhone,,5
233,Plant5 Contact Email Address,emailAddress257,plant,contactEmail,,5
234,Add an Additional Contact?,addAn258,plant,,,5
235,Name,contactFirst,plant,contactFirst1,,5
235,Name,contactLast,plant,contactLast1,,5
236,Job Title,jobTitle260,plant,jobTitle1,,5
237,Phone Number,phoneNumber261,plant,contactPhone1,,5
238,Email Address,emailAddress262,plant,contactEmail1,,5
239,"If the facility is not located in a major city, please indicate the closest major city and distance",ifThe263,,,,5
240,Briefly summarize the manufacturing process(es) in the facility:,brieflySummarize264,plant,brieflySummarize,,5
241,Are any other products produced in this plant?,areAny267,plant,otherProducts,,5
242,Please briefly list the products that are not part of this application but are being produced in the same plant.,ifYes268,plant,productDesc,,5
243,Are any of these products also produced in a plant not included in this application,areAny265,plant,areAny,,5
244,What is the name and location of the other company producing these products?,whatIs312,,,,5
247,Select preferred method:,selectPreferred271,,,,5
250,Product File Upload,fileUpload274,file,productFileURL4,,5
251,* Enter Product information:,enterManually275,product,,,5
254,Select preferred method:,selectPreferred278,,,,5
257,Ingredient File Upload,fileUpload281,file,ingredientFileURL4,,5
258,* Enter Ingredient Information:,enterManually282,ingredient,,,5
261,Kashrus Link,kashrusLink,main,kashrusLink,,
262,Creative ID,creativeId,,,,
263,GCLID,gclid,,,,
264,Campaign ID,utm_campaign,,,,
265,Campaign Name,campaign_name,,,,
266,Ad Group Name,adGroup,,,,
267,Form Name,formName,main,formName,,
268,Form Language,formLanguage,main,language,,
269,UtmTerm,utm_term,,,,
270,UtmSource,utm_source,,,,
271,UtmMedium,utm_medium,,,,
272,Lead Source,leadSource,,,,
273,Lead Source Qualifier,leadSource349,,,,
274,Channel,channel,,,,
275,,typeA352,,,,
276,SubmissionURL,submissionurl,,,,
